"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance - Mus musculus (house mouse)","37/2766","80/9709",0.4625,1.62343185104845,3.53395305288327,0.000527083713434517,0.00306253812805918,0.0017218705702035,"13645/14456/11651/12043/18750/14183/71785/14388/18709/16001/12125/18752/18590/211323/109880/16000/13685/13649/26396/26362/216148/23797/54635/110157/18591/21802/234779/74769/20663/13867/14184/18706/18596/16193/16542/271849/16194",37
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","47/2766","108/9709",0.435185185185185,1.52755349347902,3.47966580468235,0.000566802312682651,0.00323749795549243,0.0018202393627632,"15507/18750/18709/12367/14825/14672/12479/18795/432530/20723/22330/330122/16774/18752/16779/60595/94216/20310/14676/20719/12830/109711/12475/18749/16775/16782/21898/226519/12826/12827/226421/21926/11847/18033/14682/74769/24088/18706/20708/16193/16776/16777/16772/16780/11846/69379/14268",47
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease - Mus musculus (house mouse)","114/2766","308/9709",0.37012987012987,1.29920134095839,3.36797808246555,0.000615259249561994,0.0034557061183732,0.00194292394598524,"11946/54405/22272/227197/231991/19017/28080/17708/14775/17706/22151/17711/17705/12064/12367/11740/11947/20656/26427/11951/228033/18795/66445/12858/69590/16574/17995/66046/13385/12866/12861/20655/66694/67264/12868/17721/16593/66142/641340/68197/66420/11950/69920/67126/66108/22059/232910/73916/66043/230075/78330/12859/66945/70316/67003/68202/67273/17722/78284/66916/66218/407785/22142/75406/105675/333182/12857/14778/16438/105000/12370/110323/11772/11957/12914/12757/100042503/17991/215114/17992/66091/11739/330355/623286/72900/66152/67305/14682/16572/19016/53623/22123/227058/17993/68342/29869/11949/67951/66377/12371/66925/57296/22146/100041273/68194/72504/110084/12865/51897/66414/22227/15114/12867/20511",114
"Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection - Mus musculus (house mouse)","92/2766","241/9709",0.381742738589212,1.33996393671824,3.37310325259966,0.000640361951499309,0.00353773733861094,0.00198904488817732,"18019/16179/15015/100529082/11651/12043/15006/12632/18481/18750/12534/12649/268697/110557/18709/12367/14672/12532/434175/15040/18752/14696/14972/14700/16886/11920/12234/12442/15007/319236/16439/69717/15018/12767/70584/14991/26397/16440/26396/11764/21898/66066/23797/16438/12370/252903/14678/18018/19303/11769/110157/11768/73181/21926/12631/14707/14701/22033/234779/14702/18033/14682/74769/24088/18706/26399/14082/11766/15013/12371/22034/19229/69550/14102/21354/14997/12314/108012/70405/667823/14681/19094/12122/12010/14963/19766/14708/21355/26415/170758/14704/67923",92
"Metabolism","Global and overview maps","mmu01240","Biosynthesis of cofactors - Mus musculus (house mouse)","62/2766","152/9709",0.407894736842105,1.43176066522054,3.38626907336829,0.000692494578351715,0.00376404311136335,0.00211628224284055,"56738/22169/331026/56749/11647/18104/110006/13382/107508/14854/18103/54391/18102/12036/54369/211347/226139/11637/12892/69568/108037/110119/223646/13361/22247/14287/56316/11564/15288/54128/268566/66454/69719/52064/11636/17025/216134/71743/192185/103711/51797/56248/108841/71883/66588/18041/77974/232087/75735/67417/319945/70383/106564/20425/12850/72535/71147/22235/22276/63857/29807/11639",62
"Organismal Systems","Immune system","mmu04611","Platelet activation - Mus musculus (house mouse)","53/2766","126/9709",0.420634920634921,1.47648027637182,3.39779243867558,0.000704960513119731,0.00377097925271983,0.00212018199434506,"19224/16398/11651/16416/232906/22323/11512/67268/18709/18795/109305/432530/19878/16801/20619/109905/69632/16439/17931/234889/16399/104111/54195/21894/19091/18749/107589/16440/23797/16438/16412/14678/14360/99571/19877/14065/60596/14723/19395/234779/19045/14682/74769/22371/18706/20963/14061/11515/14724/20866/104110/19094/26415",53
"Organismal Systems","Circulatory system","mmu04270","Vascular smooth muscle contraction - Mus musculus (house mouse)","59/2766","144/9709",0.409722222222222,1.43817536354142,3.34352137220976,0.000807750137727733,0.00425330931897259,0.00239136553932553,"66350/18750/11512/14672/14673/18795/432530/53357/18754/329251/18752/230103/13617/19878/16801/16531/109880/69632/16439/17904/17931/234889/109624/104111/54195/11535/19091/18749/98932/17880/11475/107589/16440/26396/17540/11468/12310/16438/51801/18755/11549/110157/13614/19877/60596/12289/19045/14682/18160/77579/12288/17886/11515/11606/12314/54140/70405/104110/18761",59
"Metabolism","Carbohydrate metabolism","mmu00520","Amino sugar and nucleotide sugar metabolism - Mus musculus (house mouse)","26/2766","52/9709",0.5,1.75506146059291,3.44572210534126,0.00082587060572831,0.00428182144816062,0.00240739609766957,"331026/14583/15212/67980/67311/14584/94181/72017/15277/107652/110119/218138/50798/74246/15211/54128/109785/54342/22122/66681/67883/227620/69976/12764/22235/12763",26
"Metabolism","Global and overview maps","mmu01230","Biosynthesis of amino acids - Mus musculus (house mouse)","36/2766","79/9709",0.455696202531646,1.59954968560367,3.37709261228319,0.00087690501114085,0.00447753013264343,0.00251743065399287,"209027/69051/12974/18641/433182/11428/13806/11429/56454/71832/109652/12036/14718/269951/11898/18563/27053/18655/21881/15926/66646/108037/56421/11676/21991/18648/108682/11847/109900/21351/13808/232087/20425/236539/11846/107869",36
"Organismal Systems","Endocrine system","mmu04914","Progesterone-mediated oocyte maturation - Mus musculus (house mouse)","41/2766","93/9709",0.440860215053763,1.54747354589913,3.34830317602866,0.000909021992314504,0.00457224494641773,0.00257068277480928,"12428/12530/11651/20878/12534/11512/268697/18709/12235/18817/12532/16001/110033/56150/432530/434175/20868/208922/12442/109880/20112/16000/104111/18749/268930/75430/23797/14678/66156/110157/110651/74769/20111/18706/18667/11515/71890/104110/19094/26415/231207",41
