"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"74012",832.234174737817,1.99301985241624,0.390885929640663,5.09872497648712,3.41948949157153e-07,1.60595982728728e-06
"14660",5111.6307288034,2.55629789354503,0.50137078599863,5.09861755996294,3.42143017211528e-07,1.60631850667455e-06
"22004",33132.8635253842,9.10516349639868,1.78610093615427,5.09778776332953,3.43645787260732e-07,1.61257058338747e-06
"100502720",62.807299480382,4.802851464602,0.942150898103804,5.09775182963614,3.43711007259244e-07,1.61257058338747e-06
"13649",2033.52646488516,2.8725410553653,0.563628088563597,5.09651863285585,3.45956526566267e-07,1.62254799813622e-06
"212998",141.654330508054,-3.32471701150274,0.652372050082508,-5.09635109456673,3.46262686306119e-07,1.62342601947987e-06
"100169865",81.9611962641578,3.55075251370695,0.696794924443268,5.09583578919431,3.47205996317266e-07,1.62728964208037e-06
"18195",660.267458100159,-0.771479433783384,0.151420868263929,-5.09493468521579,3.48861507888512e-07,1.63448742178593e-06
"18673",890.12606369975,-1.26991672075567,0.249306285992927,-5.09380144867947,3.50954312885371e-07,1.64372836728193e-06
"15051",846.073542628872,-1.24299404720913,0.244024257415022,-5.09373150184457,3.51083883524743e-07,1.64377112944964e-06
"20297",102.727315266873,-8.18264062160156,1.60674962321357,-5.09266689929943,3.53061679077405e-07,1.65205462863727e-06
"226250",276.05513018114,5.406375627211,1.06160383922676,5.09264890295502,3.53095204552676e-07,1.65205462863727e-06
"257633",300.172486113338,-2.32362681478085,0.456472385127672,-5.0903995301511,3.57309854165555e-07,1.67120112736514e-06
"216859",19.0996491130814,-2.93168069451289,0.57593725655463,-5.090277909873,3.57539112346167e-07,1.67170051569047e-06
"12626",810.669584268391,0.83455429720493,0.163969564278289,5.08969027805992,3.58648819139014e-07,1.67631475466071e-06
"68524",847.348456637938,0.789668572382391,0.155157853772613,5.08945279392472,3.59098235999089e-07,1.67784071376774e-06
"56695",479.406726578812,1.43060462754969,0.281147190174155,5.0884542956432,3.60993756178615e-07,1.68612004939279e-06
"12722",2642.90045503675,3.05177898491491,0.599811497939457,5.08789677323416,3.62056338196528e-07,1.69050458559912e-06
"30933",430.620477468089,-2.43984048613119,0.479880572836707,-5.0842660116633,3.69050412935148e-07,1.72257183164805e-06
"103425",1318.8754612931,-1.03753178489746,0.204089242472566,-5.08371618380095,3.70120871101959e-07,1.72697765770924e-06
"223701",1205.35791185543,2.64396654014544,0.520143880385448,5.08314456797253,3.71236925055651e-07,1.73159314872164e-06
"13052",6177.68438519425,1.08833127710801,0.214111468492569,5.08301252973652,3.714951851007e-07,1.7322057691337e-06
